Folder,File,MFCCs,ZCR,PitchMean,PitchStd,SpectralCentroid,SpectralBandwidth,SpectralRolloff,Harmonic,Percussive
A house has all kinds of stuff,citizen_audio_2f9d1fd8-731a-433b-93c9-96c50da398e4.wav,"[-460.3665466308594, 108.47865295410156, 23.148090362548828, 5.200953483581543, 2.915572166442871, -10.970128059387207, -8.660431861877441, -0.059271492063999176, -8.618331909179688, -11.050138473510742, -3.1476573944091797, -4.29329252243042, -8.15144157409668]",0.07893296567741469,13.329536437988281,165.39158630371094,3812.3758826804906,4467.7931775961515,7707.521508097166,-7.844190577088739e-07,1.3135168046574108e-06
A house has all kinds of stuff,citizen_audio_0ccd4000-40bf-4342-b254-06583b9f55c0.wav,"[-389.828125, 51.10767364501953, 49.390079498291016, 8.128015518188477, -15.033529281616211, 25.725189208984375, -31.696197509765625, 3.9254560470581055, -14.481867790222168, -4.292261123657227, -1.9442617893218994, -17.96886444091797, -0.0687006339430809]",0.22083917397045316,5.989441394805908,103.19524383544922,7165.274322189336,5091.152889764692,12061.672343845683,-6.110869321673817e-07,-8.010902661226282e-07
A house has all kinds of stuff,citizen_audio_01d2ccbd-5d5f-47f4-b3e8-0d42bafb2ffc.wav,"[-386.37823486328125, 100.16326141357422, -0.48297277092933655, 6.196030616760254, 5.994061470031738, -5.579986095428467, -0.009841250255703926, -14.380980491638184, -15.76710033416748, -1.2796481847763062, -8.746390342712402, -9.72378921508789, -2.311722755432129]",0.03914871903153153,9.435281753540039,151.94400024414062,1367.6297178861269,1135.9886556739696,2179.1948198198197,5.794339585918351e-08,-1.1144750715175178e-05
A house has all kinds of stuff,citizen_audio_5f218b20-3104-4159-b492-7e622fa75c40.wav,"[-425.2826232910156, 77.14453125, 22.595930099487305, 9.421929359436035, -9.13424301147461, -5.6120100021362305, -18.823760986328125, -8.14396858215332, -12.668667793273926, -5.1256022453308105, -9.275347709655762, -2.2175025939941406, -7.794569969177246]",0.11063043513619014,22.66314697265625,234.10121154785156,3453.186697659696,3296.2514788282183,5908.973938454198,-3.937502128792403e-07,-5.12993210577406e-06
A house has all kinds of stuff,citizen_audio_eef9e338-a577-40fc-94aa-23ece2fe0e82.wav,"[-364.5212707519531, 116.92924499511719, -17.680419921875, 24.278297424316406, 20.672643661499023, -20.550518035888672, 0.5016605854034424, -3.784334421157837, -19.910503387451172, -0.08834436535835266, -2.0056521892547607, -13.250436782836914, -2.516538619995117]",0.05257852758041849,14.770565032958984,196.93487548828125,2118.01378540953,1724.5970291898643,3594.1647798251092,1.866246712722841e-08,2.2402699073609256e-07
A house has all kinds of stuff,citizen_audio_d6e66193-86d4-4e31-b9a9-9a12d2ab1807.wav,"[-341.577880859375, 124.10823059082031, -24.42055892944336, 30.724916458129883, 23.79281997680664, -27.113107681274414, -0.02533450908958912, -1.2841155529022217, -19.64035415649414, -0.9126882553100586, -4.862837314605713, -14.302850723266602, -1.6301720142364502]",0.06044829679557008,16.909421920776367,212.37232971191406,2166.010069331544,1740.7446679091586,3599.9455337690633,-1.2668043325447798e-07,3.3505024475743994e-05
A house has all kinds of stuff,citizen_audio_73f5ede5-e790-4b84-b323-c8c041b14703.wav,"[-399.98046875, 70.7162094116211, 1.7498738765716553, 44.329833984375, -16.223060607910156, 12.991351127624512, -4.928947925567627, -12.811229705810547, 2.169699192047119, -18.94190788269043, -6.771838665008545, -6.794411659240723, -3.054954767227173]",0.1267355245870871,24.001569747924805,245.10205078125,3954.541766775337,3130.68961127078,7110.838963963964,-2.3688007111388742e-09,5.420056368166115e-07
A house has all kinds of stuff,citizen_audio_8ce6a097-09ec-45ec-9d6a-f59716040be3.wav,"[-412.8344421386719, 86.90121459960938, -6.387325763702393, 18.26425552368164, -2.1518607139587402, 1.0273315906524658, 0.39313480257987976, -10.628397941589355, -7.990250110626221, -8.81026554107666, -7.904141902923584, -17.512739181518555, -8.124505996704102]",0.0753200514326983,20.58710289001465,208.1977081298828,2646.574321940247,2498.423955736891,4522.676257026858,1.9278015628287903e-08,8.600977139394672e-07
Modern English has been spreading,citizen_audio_7bfa053f-9d21-45d1-be95-2ec47554b81c.wav,"[-460.4929504394531, 83.66617584228516, -11.93266487121582, 10.581568717956543, 9.459113121032715, -2.0012173652648926, -15.600227355957031, -12.00849723815918, -9.54430103302002, -16.46442413330078, -7.160261631011963, -12.199494361877441, -15.792821884155273]",0.07179347316066066,13.728930473327637,182.77655029296875,2937.709788973709,2546.585457926308,5140.596846846847,8.568209253212444e-09,3.0714662102582224e-07
Modern English has been spreading,citizen_audio_e3904a30-7517-44b8-b84b-2541aab131d4.wav,"[-425.18634033203125, 131.38909912109375, -29.057540893554688, 31.480257034301758, 22.51355743408203, 10.742953300476074, -4.934962272644043, -30.107519149780273, -22.76900863647461, -18.300765991210938, -6.70456075668335, -10.578533172607422, -10.738713264465332]",0.07426689605587511,16.154226303100586,195.06121826171875,2265.104114019146,1847.0016841634758,3705.7810975374896,1.2799582504996465e-09,1.3715305158257252e-06
